run,num_cubos,tempo_ate_sleep_s,timeout,phys_frames,max_v,t_primeiro_sleep,t_metade_sleep
1,10,2.8400,0,142,0.116575,2.8400,2.8400
2,10,2.7000,0,135,0.113705,2.7000,2.7000
3,10,2.6600,0,133,0.116566,2.6600,2.6600
1,20,9.4000,0,470,19.620410,7.8000,8.0800
2,20,9.7200,0,486,20.611940,8.3000,8.8400
3,20,9.5800,0,479,22.732630,7.8400,8.6000
1,30,11.0601,0,553,29.440850,8.2200,9.1600
2,30,11.1001,0,555,25.220430,8.1000,9.3200
3,30,11.3201,0,566,27.023420,8.3800,9.0600
