run,num_cubos,tempo_ate_sleep_s,timeout,phys_frames,max_v,t_primeiro_sleep,t_metade_sleep
1,100,60.0110,1,3002,97.639893,2.1310,6.6910
2,100,60.0170,1,3001,97.662407,2.0770,6.6970
3,100,8.5570,0,428,36.054092,3.2170,6.7770
4,100,60.0170,1,3001,97.606140,2.8970,7.2370
5,100,60.0170,1,3001,97.629173,2.4970,6.6370
6,100,9.3560,0,468,34.543404,1.9760,6.5960
7,100,9.1770,0,459,34.864063,3.2370,7.0370
8,100,60.0170,1,3001,97.463348,2.4370,6.6780
9,100,8.4580,0,423,35.600822,2.7780,6.5180
10,100,8.4970,0,425,34.741177,2.9970,7.2570
